Numero Projet;Outils
2;Power Point
5;SQL Power Architect
5;PostgreSQL
6;Python
7;Power BI
8;KNIME
9;R
10;DBT
10;BigQuery
10;Power BI
11;Python
12;Python
13;Power BI
