country,granularity,year,population
Anguilla,Female,2023,7.407
Anguilla,Rural,2023,0
Anguilla,Urban,2023,15.521
Antigua and Barbuda,Total,2019,91.364
Antigua and Barbuda,Male,2019,43.424
Antigua and Barbuda,Female,2019,47.94
Antigua and Barbuda,Rural,2019,78.577
Antigua and Barbuda,Urban,2019,25.507
Antigua and Barbuda,Total,2020,91.846
Antigua and Barbuda,Male,2020,43.667
Antigua and Barbuda,Female,2020,48.178
Antigua and Barbuda,Rural,2020,79.428
Antigua and Barbuda,Urban,2020,25.682
Antigua and Barbuda,Total,2021,92.349
Antigua and Barbuda,Male,2021,43.919
Antigua and Barbuda,Female,2021,48.429
Antigua and Barbuda,Rural,2021,80.252
Antigua and Barbuda,Urban,2021,25.873
Antigua and Barbuda,Total,2022,92.84
Antigua and Barbuda,Male,2022,44.17
Antigua and Barbuda,Female,2022,48.67
Antigua and Barbuda,Rural,2022,81.058
Antigua and Barbuda,Urban,2022,26.086
Antigua and Barbuda,Total,2023,93.316
Antigua and Barbuda,Male,2023,44.408
Antigua and Barbuda,Female,2023,48.907
Antigua and Barbuda,Rural,2023,81.825
Antigua and Barbuda,Urban,2023,26.313
Argentina,Total,2019,44973.465
Argentina,Male,2019,22307.714
Argentina,Female,2019,22665.752
Argentina,Rural,2019,3612.215
Argentina,Urban,2019,41489.566
Argentina,Total,2020,45191.964
Argentina,Male,2020,22419.484
Argentina,Female,2020,22772.48
Argentina,Rural,2020,3590.542
Argentina,Urban,2020,41919.857
Argentina,Total,2021,45312.281
Argentina,Male,2021,22478.115
Argentina,Female,2021,22834.166
Argentina,Rural,2021,3567.989
Argentina,Urban,2021,42346.437
Argentina,Total,2022,45407.904
Argentina,Male,2022,22527.129
Argentina,Female,2022,22880.775
Argentina,Rural,2022,3544.546
Argentina,Urban,2022,42768.727
Argentina,Total,2023,45538.401
Argentina,Male,2023,22596.984
Argentina,Female,2023,22941.416
Argentina,Rural,2023,3520.257
Argentina,Urban,2023,43186.763
Armenia,Total,2019,2903.972
Armenia,Male,2019,1341.086
Armenia,Female,2019,1562.886
Armenia,Rural,2019,1080.164
Armenia,Urban,2019,1856.542
Armenia,Total,2020,2890.892
Armenia,Male,2020,1336.435
Armenia,Female,2020,1554.457
Armenia,Rural,2020,1078.125
Armenia,Urban,2020,1860.554
Armenia,Total,2021,2870.349
Armenia,Male,2021,1327.816
Armenia,Female,2021,1542.533
Armenia,Rural,2021,1075.114
Armenia,Urban,2021,1864.83
Armenia,Total,2022,2880.874
Armenia,Male,2022,1333.939
Armenia,Female,2022,1546.936
Armenia,Rural,2022,1070.987
Armenia,Urban,2022,1869.102
Armenia,Total,2023,2943.393
Armenia,Male,2023,1365.373
Armenia,Female,2023,1578.02
Armenia,Rural,2023,1065.772
Armenia,Urban,2023,1873.397
Aruba,Total,2019,107.076
Aruba,Male,2019,50.544
Aruba,Female,2019,56.532
Aruba,Rural,2019,59.871
Aruba,Urban,2019,46.182
Aruba,Total,2020,107.4
Aruba,Male,2020,50.645
Aruba,Female,2020,56.755
Aruba,Rural,2020,59.927
Aruba,Urban,2020,46.511
Aruba,Total,2021,107.558
Aruba,Male,2021,50.733
Aruba,Female,2021,56.825
Aruba,Rural,2021,59.949
Aruba,Urban,2021,46.848
Aruba,Total,2022,107.782
Aruba,Male,2022,50.881
Aruba,Female,2022,56.901
Aruba,Rural,2022,59.947
Aruba,Urban,2022,47.2
Aruba,Total,2023,107.939
Aruba,Male,2023,50.98
Aruba,Female,2023,56.959
Aruba,Rural,2023,59.918
Aruba,Urban,2023,47.566
Australia,Total,2019,25482.714
Australia,Male,2019,12645.913
Australia,Female,2019,12836.801
Australia,Rural,2019,3481.222
Australia,Urban,2019,21607.414
Australia,Total,2020,25743.791
Australia,Male,2020,12773.754
Australia,Female,2020,12970.037
Australia,Rural,2020,3494.472
Australia,Urban,2020,21903.705
Australia,Total,2021,25956.418
Australia,Male,2021,12879.362
Australia,Female,2021,13077.055
Australia,Rural,2021,3504.916
Australia,Urban,2021,22195.539
Australia,Total,2022,26200.984
Australia,Male,2022,13000.471
Australia,Female,2022,13200.513
Australia,Rural,2022,3512.683
Australia,Urban,2022,22483.604
Australia,Total,2023,26451.124
Australia,Male,2023,13123.656
Australia,Female,2023,13327.469
Australia,Rural,2023,3517.928
Australia,Urban,2023,22768.759
Austria,Total,2019,8880.876
Austria,Male,2019,4368.489
Austria,Female,2019,4512.387
Austria,Rural,2019,3636.627
Austria,Urban,2019,5129.574
Austria,Total,2020,8921.405
Austria,Male,2020,4389.081
Austria,Female,2020,4532.324
Austria,Rural,2020,3622.85
Austria,Urban,2020,5159.36
Austria,Total,2021,8967.057
Austria,Male,2021,4411.996
Austria,Female,2021,4555.06
Austria,Rural,2021,3608.752
Austria,Urban,2021,5191.931
Austria,Total,2022,9064.677
Austria,Male,2022,4460.698
Austria,Female,2022,4603.98
Austria,Rural,2022,3593.85
Austria,Urban,2022,5226.617
Austria,Total,2023,9130.429
Austria,Male,2023,4494.035
Austria,Female,2023,4636.394
Austria,Rural,2023,3577.856
Austria,Urban,2023,5263.01
Azerbaijan,Total,2019,10110.475
Azerbaijan,Male,2019,4942.714
Azerbaijan,Female,2019,5167.761
Azerbaijan,Rural,2019,4403.28
Azerbaijan,Urban,2019,5611.295
Azerbaijan,Total,2020,10181.73
Azerbaijan,Male,2020,4980.263
Azerbaijan,Female,2020,5201.467
Azerbaijan,Rural,2020,4403.813
Azerbaijan,Urban,2020,5695.93
Azerbaijan,Total,2021,10234.371
Azerbaijan,Male,2021,5008.445
Azerbaijan,Female,2021,5225.926
Azerbaijan,Rural,2021,4399.795
Azerbaijan,Urban,2021,5779.351
Azerbaijan,Total,2022,10295.304
Azerbaijan,Male,2022,5041.776
Azerbaijan,Female,2022,5253.528
Azerbaijan,Rural,2022,4391.189
Azerbaijan,Urban,2022,5861.375
Azerbaijan,Total,2023,10318.207
Azerbaijan,Male,2023,5055.977
Azerbaijan,Female,2023,5262.23
Azerbaijan,Rural,2023,4378.246
Azerbaijan,Urban,2023,5942.187
Bahamas,Total,2019,394.675
Bahamas,Male,2019,189.495
Bahamas,Female,2019,205.179
Bahamas,Rural,2019,67.996
Bahamas,Urban,2019,335.099
Bahamas,Total,2020,395.863
Bahamas,Male,2020,189.876
Bahamas,Female,2020,205.987
Bahamas,Rural,2020,68.165
Bahamas,Urban,2020,338.674
Bahamas,Total,2021,396.373
Bahamas,Male,2021,189.918
Bahamas,Female,2021,206.454
Bahamas,Rural,2021,68.295
Bahamas,Urban,2021,342.261
Bahamas,Total,2022,397.538
Bahamas,Male,2022,190.243
Bahamas,Female,2022,207.296
Bahamas,Rural,2022,68.381
Bahamas,Urban,2022,345.844
Bahamas,Total,2023,399.44
Bahamas,Male,2023,190.909
Bahamas,Female,2023,208.532
Bahamas,Rural,2023,68.421
Bahamas,Urban,2023,349.415
Bahrain,Total,2019,1485.67
Bahrain,Male,2019,928.286
Bahrain,Female,2019,557.385
Bahrain,Rural,2019,173.716
Bahrain,Urban,2019,1464.18
Bahrain,Total,2020,1483.077
Bahrain,Male,2020,924.113
Bahrain,Female,2020,558.964
Bahrain,Rural,2020,178.17
Bahrain,Urban,2020,1519.595
Bahrain,Total,2021,1501.764
Bahrain,Male,2021,931.101
Bahrain,Female,2021,570.663
Bahrain,Rural,2021,181.021
Bahrain,Urban,2021,1563.274
Bahrain,Total,2022,1533.459
Bahrain,Male,2022,950.328
Bahrain,Female,2022,583.13
Bahrain,Rural,2022,182.577
Bahrain,Urban,2022,1597.511
Bahrain,Total,2023,1569.666
Bahrain,Male,2023,974.396
Bahrain,Female,2023,595.269
Bahrain,Rural,2023,183.211
Bahrain,Urban,2023,1625.232
Bangladesh,Total,2019,164913.055
Bangladesh,Male,2019,81162.19
Bangladesh,Female,2019,83750.865
Bangladesh,Rural,2019,105200.1
Bangladesh,Urban,2019,62865.82
Bangladesh,Total,2020,166298.024
Bangladesh,Male,2020,81878.88
Bangladesh,Female,2020,84419.144
Bangladesh,Rural,2020,104960.356
